Ticker,std,r,VaR,ES
ABNB,0.035,0.001,-0.035,-100.153
MCK,0.018,0.001,-0.018,-104.326
RE,0.015,0.001,-0.015,-106.083
PSA,0.013,0.001,-0.013,-107.396
ORLY,0.017,0.001,-0.017,-111.602
CHTR,0.017,0.001,-0.017,-112.185
ESS,0.015,0.001,-0.015,-113.311
BIO,0.017,0.001,-0.017,-113.886
COO,0.016,0.001,-0.016,-114.628
ROP,0.014,0.001,-0.014,-117.08
GS,0.018,0.001,-0.018,-127.403
EQIX,0.016,0.001,-0.016,-135.04
GWW,0.017,0.001,-0.017,-157.261
BIIB,0.027,0.0,-0.027,-197.478
BLK,0.017,0.001,-0.017,-207.834
MTD,0.016,0.001,-0.016,-215.927
REGN,0.022,0.001,-0.022,-229.686
CMG,0.022,0.001,-0.022,-302.114
AZO,0.016,0.001,-0.016,-409.47
BKNG,0.019,0.001,-0.019,-806.344
NVR,0.019,0.001,-0.019,-918.573
